,NFLX,AAPL,BAC,BA,CSCO,CME,DE
2011-01-04 00:00:00,25.9099998474,40.970993042,12.753276825,53.0559844971,15.7356376648,42.5965690613,67.1976699829
2011-01-05 00:00:00,25.6757144928,41.3061256409,12.9861316681,53.4839859009,15.9273481369,41.8400268555,68.1851730347
2011-01-06 00:00:00,25.4271430969,41.2727432251,12.9323959351,54.5302085876,16.0653800964,42.1464080811,68.1932754517
2011-01-07 00:00:00,25.6142864227,41.5683135986,12.7622327805,54.9899215698,16.0807151794,41.3428115845,68.2661132812
2011-01-10 00:00:00,26.8400001526,42.3511505127,12.8965711594,54.7600517273,15.9426870346,42.3116989136,68.4603881836
2011-01-11 00:00:00,26.6642856598,42.2509765625,13.156293869,54.6570205688,16.0116996765,41.7701568604,69.3345718384
2011-01-12 00:00:00,26.9857139587,42.5947875977,13.4249725342,55.6002159119,16.1957397461,42.3197631836,70.7833862305
2011-01-13 00:00:00,27.355714798,42.7506103516,13.2279434204,55.3465881348,16.1650695801,42.1410293579,72.4184188843
2011-01-14 00:00:00,27.3542861938,43.0968818665,13.657828331,55.5368041992,16.2647571564,42.5925445557,72.4588699341
2011-01-18 00:00:00,27.6685714722,42.1285514832,13.433930397,57.4390220642,16.2724266052,42.1947860718,73.3330535889
2011-01-19 00:00:00,27.2671432495,41.9047050476,12.8697052002,56.8525123596,15.9656848907,41.1547012329,72.3617553711
2011-01-20 00:00:00,26.428571701,41.1428833008,13.0219545364,56.3690376282,15.9273481369,41.5511169434,72.2484359741
2011-01-21 00:00:00,26.0128574371,40.4058036804,12.7622327805,56.8128547668,15.8966741562,41.6398048401,72.2322463989
2011-01-24 00:00:00,26.2800006866,41.7327919006,12.4666862488,57.6451034546,16.2340869904,41.5968017578,72.9445495605
2011-01-25 00:00:00,26.6771430969,42.2213020325,12.2069625854,57.2567405701,16.5178203583,41.2406959534,72.3536453247
2011-01-26 00:00:00,26.1471424103,42.5242958069,12.1353139877,55.4971542358,16.4257984161,41.0633201599,73.648727417
2011-01-27 00:00:00,30.1242866516,42.4451446533,12.2427864075,55.925163269,16.4411354065,41.6411476135,73.6406326294
2011-01-28 00:00:00,31.1399993896,41.5658416748,12.1800966263,54.8710212708,16.0500488281,40.9705924988,71.965133667
2011-01-31 00:00:00,30.582857132,41.9640693665,12.2965221405,55.0691642761,16.2187480927,41.463760376,73.5758514404
2011-02-01 00:00:00,30.4142856598,42.6702156067,12.8159694672,55.71118927,16.4641399384,42.4541358948,75.2432785034
2011-02-02 00:00:00,30.1800003052,42.5824203491,12.753276825,56.2738952637,16.579164505,42.3479881287,76.1579208374
2011-02-03 00:00:00,30.2128562927,42.4735908508,12.9234399796,56.2580528259,16.8015518188,40.4290618896,75.6641845703
2011-02-04 00:00:00,31.4385719299,42.8520126343,12.7980556488,56.5751037598,16.9089107513,40.8751907349,75.4456253052
2011-02-07 00:00:00,31.1457138062,43.5173606873,13.1383838654,57.0110092163,16.8935775757,40.8080024719,76.198387146
2011-02-08 00:00:00,31.0900001526,43.9279632568,13.0846443176,57.6292304993,16.8628997803,40.4532432556,75.6722640991
2011-02-09 00:00:00,31.7557144165,44.2940177917,13.1115159988,57.9002685547,16.9012413025,40.6507797241,76.0446014404
2011-02-10 00:00:00,31.8857135773,43.8463401794,12.9771757126,57.9241905212,14.508687973,41.3508834839,76.5059585571
2011-02-11 00:00:00,33.0099983215,44.1320266724,13.2279434204,57.5096588135,14.3399810791,41.4906425476,77.2344284058
2011-02-14 00:00:00,35.3642845154,44.4201622009,13.3354158401,57.6053314209,14.4243354797,40.6588516235,76.7002410889
2011-02-15 00:00:00,34.3985710144,44.5092163086,13.2279434204,56.9197349548,14.3169746399,39.1484298706,75.7774887085
2011-02-16 00:00:00,33.9599990845,44.9086647034,13.2906341553,57.7807121277,14.247959137,39.4642066956,77.5905838013
2011-02-17 00:00:00,33.6614303589,44.3113327026,13.2637672424,57.5893936157,14.3246469498,40.6628837585,77.1049346924
2011-02-18 00:00:00,33.6442871094,43.3541183472,13.2100276947,58.2271385193,14.4550085068,40.6951217651,76.8944854736
2011-02-22 00:00:00,31.6571426392,41.8762588501,12.6995420456,56.5450515747,14.2556314468,40.3242378235,73.6567993164
2011-02-23 00:00:00,30.1714286804,42.3721847534,12.6905832291,55.9870300293,14.1099300385,40.5016174316,71.4390106201
2011-02-24 00:00:00,30.7399997711,42.4043312073,12.5114679337,56.4095306396,14.0792560577,40.9262504578,71.965133667
2011-02-25 00:00:00,30.3485717773,43.0573158264,12.7174510956,57.6372261047,14.293970108,42.1343193054,73.2440261841
2011-02-28 00:00:00,29.5242862701,43.6818580627,12.7980556488,57.4060211182,14.2326221466,41.8292770386,72.9688186646
2011-03-01 00:00:00,29.2328567505,43.1995506287,12.4756450653,55.8993186951,14.2326221466,41.1869468689,72.0865631104
2011-03-02 00:00:00,29.1757144928,43.5470504761,12.3949804306,55.4608726501,14.1866130829,40.8563842773,72.4831542969
